array,site,long,lat,easting_12n,northing_12n,camera,start_date,end_date,camera_failure_details
LU21,LU21_59,-111.58272999999998,56.56464,464188.2997858943,6269077.355030616,59,2022-09-17,2023-10-02,NA
LU21,LU21_68,-111.71055000000001,56.63286,456411.8770615854,6276744.549557965,68,2022-09-17,2023-10-02,NA
LU21,LU21_109,-111.90173,56.56289,444582.1036626353,6269094.513999412,109,2022-09-17,2023-09-25,NA
LU21,LU21_93,-111.84483,56.56624,448083.5099951249,6269422.898809442,93,2022-09-17,2023-10-02,NA
LU21,LU21_114,-111.73336,56.55014,454914.2656503903,6267552.174327797,114,2022-09-17,2023-10-02,NA
LU21,LU21_105,-111.68692999999999,56.55542,457774.52757166827,6268110.340271657,105,2022-09-17,2023-10-02,NA
LU21,LU21_100,-111.90392000000001,56.53842,444411.6623220557,6266372.728073668,100,2022-09-17,2023-09-25,NA
LU21,LU21_74,-111.86436,56.51803,446815.8474417375,6264071.961809687,74,2022-09-17,2023-09-25,NA
LU21,LU21_78,-111.82865,56.52056,449016.42305042094,6264326.479208799,78,2022-09-17,2023-10-02,NA
LU21,LU21_153,-111.78556999999999,56.550459999999994,451704.9666780816,6267623.291786216,153,2022-09-17,2023-10-02,NA
LU21,LU21_6,-111.67987999999998,56.519659999999995,458168.47854948515,6264125.797611713,6,2022-09-17,2023-10-02,NA
LU21,LU21_116,-111.63882999999998,56.55143999999999,460727.0552528939,6267638.803909827,116,2022-09-17,2023-10-02,NA
LU21,LU21_97,-111.59376999999999,56.57623,463521.00306775887,6270373.196170448,97,2022-09-17,2023-10-02,NA
LU1,LU1_13,-110.72349,54.60634,517860.66818018013,6051021.891309919,13,2022-06-13,2023-09-10,NA
LU1,LU1_30,-110.82257999999999,54.734320000000004,511424.15943137114,6065241.908204695,30,2022-06-13,2023-09-10,NA
LU1,LU1_85,-110.71049000000001,54.73971000000001,518639.19765712455,6065865.68579549,85,2022-06-13,2023-05-25,NA
LU1,LU1_66,-110.72408,54.707770000000004,517778.22296196065,6062308.085680805,66,2022-06-14,2023-09-10,NA
LU1,LU1_76,-110.70893,54.70008,518757.9210049606,6061456.338101148,76,2022-06-14,2022-12-26,NA
LU1,LU1_73,-110.70935,54.675050000000006,518742.38346785546,6058671.068673693,73,2022-06-14,2023-09-10,NA
LU1,LU1_75,-110.69172999999999,54.68616,519873.16744600306,6059912.152166309,75,2022-06-14,2023-09-10,NA
LU1,LU1_47,-110.48721000000002,54.617839999999994,533113.3118253504,6052387.198038379,47,2022-06-15,2023-09-09,NA
LU1,LU1_74,-110.26517,54.66743,547393.5628430925,6058032.326147448,74,2022-06-15,2023-09-10,NA
LU1,LU1_44,-110.47691,54.59921000000001,533793.854956572,6050319.135362371,44,2022-06-15,2023-09-09,NA
LU1,LU1_41,-110.29359000000001,54.594100000000005,545642.6551964608,6049854.132664412,41,2022-06-15,2023-09-10,NA
LU1,LU1_64,-110.31862000000001,54.69595000000001,543915.5147019767,6061171.0032300865,64,2022-06-16,2023-09-09,NA
LU1,LU1_86,-110.34254,54.73745,542330.617004722,6065774.063896275,86,2022-06-16,2023-07-27,NA
LU1,LU1_79,-110.33426000000001,54.703970000000005,542899.0558042112,6062053.725407843,79,2022-06-16,2023-09-09,NA
LU1,LU1_63,-110.38139,54.69512000000001,539870.8038651495,6061041.19200159,63,2022-06-16,2022-12-05,NA
LU1,LU1_72,-110.41977,54.65901,537430.3559633855,6057002.070236914,72,2022-06-16,2022-09-22,NA
LU1,LU1_67,-110.55328,54.75274,528751.385144662,6067368.674344985,67,2022-06-16,2023-09-09,NA
LU1,LU1_77,-110.53466000000002,54.700920000000004,529988.0140915285,6061610.310552047,77,2022-06-16,2022-09-22,NA
LU1,LU1_32,-110.54806,54.74266,529094.5727078938,6066249.192262178,32,2022-06-16,2023-09-09,NA
LU1,LU1_36,-110.53842999999999,54.72431000000001,529727.9499859876,6064211.370486616,36,2022-06-16,2023-09-09,NA
LU1,LU1_84,-110.50404,54.72892000000001,531939.2348060943,6064739.446890527,84,2022-06-16,2023-09-09,NA
LU1,LU1_25,-110.549,54.692400000000006,529069.9948021881,6060656.239644214,25,2022-06-17,2023-09-09,NA
LU1,LU1_83,-110.54852000000001,54.73326,529071.6893751898,6065203.035231719,83,2022-06-17,2023-09-09,NA
LU1,LU1_80,-110.54085,54.712540000000004,529580.6559765858,6062900.669334268,80,2022-06-17,2023-09-09,NA
LU1,LU1_70,-110.56893,54.60699,527843.7001830979,6051144.471224809,70,2022-06-17,2023-04-11,NA
LU1,LU1_48,-110.40762000000002,54.60776,538262.2182523218,6051306.011127127,48,2022-06-17,2023-09-09,NA
LU1,LU1_45,-110.37065,54.59816000000001,540659.6693352675,6050258.579091811,45,2022-06-17,2023-09-09,NA
LU1,LU1_11,-110.48226000000001,54.588892,533456.6812036387,6049168.492295013,11,2022-06-17,2023-09-09,NA
LU1,LU1_40,-110.57063,54.581759999999996,527751.0422112439,6048336.444604886,40,2022-06-17,2023-08-24,NA
LU1,LU1_6,-110.60829,54.56253000000001,525328.9342540767,6046182.504395512,6,2022-06-17,2023-09-10,NA
LU1,LU1_10,-110.60129,54.58592,525766.8107989627,6048787.659593273,10,2022-06-17,2022-12-05,NA
LU1,LU1_43,-110.51104000000001,54.608610000000006,531581.652536649,6051349.203132933,43,2022-06-18,2023-09-09,NA
LU1,LU1_71,-110.50837999999999,54.63866,531730.0655292924,6054694.0864779595,71,2022-06-18,2023-09-09,NA
LU1,LU1_22,-110.48788,54.65007,533043.9067839758,6055973.139892376,22,2022-06-18,2023-09-09,NA
LU1,LU1_60,-110.50311,54.690430000000006,532029.4430693227,6060457.00132527,60,2022-06-18,2023-09-09,NA
LU1,LU1_78,-110.37037999999998,54.69755000000001,540577.9887446966,6061317.889308336,78,2022-06-18,2023-09-09,NA
LU1,LU1_46,-110.51263,54.616679999999995,531472.7289227777,6052246.442997281,46,2022-06-18,2023-09-09,NA
LU1,LU1_82,-110.08388,54.703959000000005,559032.7028347463,6062234.287410351,82,2022-06-15,2023-09-10,NA
LU1,LU1_27,-110.7394,54.69098,516798.0541118343,6060436.038469366,27,2022-06-14,2023-09-10,NA
LU9,LU9_5,-113.69829999999999,55.90594,331327.57922979794,6198901.1150807375,5,2023-09-15,2024-09-09,NA
LU9,LU9_6,-113.66641,55.9047,333315.18485922605,6198685.843458697,6,2023-09-15,2024-09-09,NA
LU9,LU9_7,-113.66419,55.920350000000006,333521.0227930289,6200421.5729281325,7,2023-09-16,2024-09-10,NA
LU9,LU9_8,-113.64587999999999,55.915510000000005,334644.2587813516,6199839.181603092,8,2023-09-15,2024-09-09,NA
LU9,LU9_100,-113.39996000000001,56.09786,350714.6576276187,6219566.873118631,100,2023-09-13,2024-09-09,NA
LU9,LU9_102,-113.78246,56.10159,326945.22902590287,6220875.295462604,102,2023-09-14,2024-09-10,NA
LU9,LU9_106,-113.39658,56.111239999999995,350976.5755666171,6221048.257183494,106,2023-09-13,2024-09-09,NA
